iter	Passed	Remaining
0	47	47730
1	48	24207
2	48	16260
3	49	12275
4	49	9880
5	51	8495
6	52	7384
7	52	6544
8	53	5928
9	70	6953
10	78	7022
11	78	6461
12	78	5984
13	79	5574
14	79	5217
15	79	4906
16	80	4631
17	80	4388
18	80	4169
19	81	3972
20	81	3795
21	81	3633
22	82	3485
23	82	3351
24	82	3230
25	83	3118
26	83	3022
27	84	2925
28	84	2835
29	85	2751
30	85	2673
31	85	2598
32	86	2530
33	86	2465
34	87	2405
35	88	2357
36	89	2317
37	89	2276
38	90	2236
39	91	2198
40	92	2160
41	93	2122
42	93	2079
43	93	2038
44	94	1998
45	94	1959
46	94	1922
47	97	1927
48	98	1904
49	98	1878
50	99	1850
51	99	1821
52	100	1792
53	100	1764
54	101	1736
55	101	1709
56	101	1684
57	102	1660
58	102	1636
59	102	1613
60	103	1590
61	103	1568
62	104	1546
63	104	1525
64	104	1503
65	104	1483
66	105	1465
67	105	1446
68	105	1428
69	106	1411
70	106	1393
71	106	1377
72	107	1360
73	107	1344
74	107	1328
75	108	1313
76	108	1298
77	108	1284
78	108	1270
79	109	1256
80	109	1243
81	109	1230
82	110	1216
83	110	1204
84	110	1192
85	111	1181
86	111	1171
87	111	1159
88	112	1148
89	112	1138
90	112	1127
91	113	1117
92	113	1107
93	113	1097
94	115	1096
95	115	1087
96	115	1078
97	116	1069
98	116	1059
99	116	1050
100	117	1041
101	117	1032
102	117	1024
103	117	1015
104	118	1007
105	118	998
106	118	991
107	119	983
108	119	975
109	119	967
110	119	960
111	120	952
112	120	945
113	120	938
114	121	931
115	121	924
116	121	916
117	121	910
118	122	903
119	122	896
120	122	890
121	122	883
122	123	877
123	123	871
124	123	865
125	123	859
126	124	853
127	124	848
128	124	843
129	125	837
130	125	832
131	125	827
132	126	821
133	126	817
134	126	812
135	127	808
136	127	804
137	127	799
138	128	794
139	128	789
140	128	785
141	129	780
142	129	775
143	129	771
144	130	766
145	130	762
146	130	757
147	130	753
148	131	749
149	131	744
150	131	740
151	132	736
152	132	733
153	132	729
154	133	725
155	133	721
156	133	717
157	133	713
158	134	710
159	134	706
160	134	701
161	134	698
162	135	694
163	135	691
164	135	687
165	136	683
166	136	680
167	136	676
168	136	673
169	137	670
170	137	666
171	137	663
172	138	660
173	138	657
174	138	654
175	139	651
176	139	648
177	139	645
178	139	641
179	140	638
180	140	635
181	140	633
182	141	630
183	141	627
184	142	625
185	142	623
186	142	620
187	143	618
188	143	615
189	143	612
190	144	610
191	144	607
192	144	605
193	144	602
194	145	599
195	145	597
